Date,Time,HomeTeam,AwayTeam,ExpHG,ExpAG
12/28/2023,8:00 AM,Mexico,GB,0.5,1.5
12/28/2023,8:30 AM,Argentina,Australia,1.5,0.5
12/28/2023,10:00 AM,USA,Brazil,1,1
12/29/2023,9:00 AM,Brazil,GB,1,1
12/29/2023,11:00 AM,Australia,Mexico,1,1
12/29/2023,4:00 PM,USA,Argentina,1.5,1.5
12/31/2023,9:00 AM,Mexico,Argentina,0.5,1.5
12/31/2023,11:00 AM,Brazil,Australia,1.5,0.5
12/31/2023,4:00 PM,GB,USA,1,1
1/2/2024,9:30 AM,Argentina,GB,1,1
1/2/2024,9:30 AM,Australia,USA,0.5,1.75
1/2/2024,9:30 AM,Brazil,Mexico,1.5,0.5
